 TEXTURE FOR PHASE  1  AT VM STRAIN     0.500
   95.18   68.38   47.81        0.0000200
    0.18   55.15   47.94        0.0000111
 -140.51   93.04    7.34        0.0005019
 -179.59   32.70   53.17        0.0000601
   -4.08   84.50   18.34        0.0000446
  -69.86   59.11   57.36        0.0000671
   98.74   65.12   48.43        0.0000068
 -100.87   61.51   13.51        0.0001043
  -23.08   65.91   85.94        0.0003460
   -7.96   53.54   52.29        0.0001833
  109.64   76.89   30.84        0.0000501
   99.82   64.96   43.52        0.0000065
    1.38   59.76   42.94        0.0001236
 -111.78   79.51   31.92        0.0002036
 -141.03   62.53   66.49        0.0000184
   45.91   38.51   48.05        0.0000166
 -166.66   62.76    3.61        0.0000419
  -87.19   36.53   -0.72        0.0000404
   68.29   46.06   30.89        0.0000221
   32.57   28.54   43.05        0.0000481
  -32.02   74.73   17.58        0.0000205
   37.33   52.31   67.63        0.0000336
  -88.31   29.95   85.10        0.0000305
 -179.33   53.81   46.07        0.0000143
  -90.63   64.74   17.36        0.0000223
   -3.55   44.03   57.71        0.0000590
  -76.84   51.51   70.89        0.0000281
  -58.70    1.69   32.52        0.0000357
 -122.32   57.63   55.40        0.0003872
  -31.77   35.53   45.34        0.0000174
  -48.81   84.02   93.92        0.0003324
   20.05   52.03    5.50        0.0001715
   62.44   60.09   46.29        0.0000720
  -77.64   59.29   69.25        0.0000451
 -110.61   78.66   80.60        0.0000298
   29.48   90.13   88.51        0.0000339
  170.86   66.41   19.77        0.0000202
  176.70   72.65   33.55        0.0000269
  177.69   24.30   59.94        0.0001242
 -104.96   16.58   93.65        0.0000380
   87.88   38.95    4.63        0.0000350
    0.35   69.70   34.82        0.0000664
 -175.31   65.32   67.76        0.0000345
  102.28   60.76   58.26        0.0000135
 -136.42   53.49   60.10        0.0000635
  -46.52   45.47   75.52        0.0002714
  107.10   16.69   -1.70        0.0001325
  116.72   76.82    6.01        0.0000929
   71.90   14.46   92.70        0.0000654
 -168.41   75.57   17.23        0.0001757
  154.49   46.78   76.79        0.0003780
  172.08    8.52  -17.81        0.0000460
   45.61   58.76   57.08        0.0002504
   51.72   72.37   72.07        0.0000082
  -10.82   86.26   80.03        0.0000355
 -113.06   62.31   46.59        0.0000178
    7.08   79.50   16.81        0.0000410
    1.13   71.30   52.02        0.0000149
    1.14   61.91   32.36        0.0001083
   31.81   86.42   84.50        0.0000733
 -168.98   74.51   58.42        0.0000996
 -159.11   41.15   96.44        0.0001863
  116.07   90.64   85.51        0.0000244
  -50.88   90.09   89.02        0.0001045
  167.86   62.48   19.42        0.0000177
  -78.26   64.40   63.32        0.0000245
 -106.12   60.01   36.05        0.0000284
  -29.88   40.21   37.40        0.0000116
    9.65   78.54   71.65        0.0000165
  176.55   82.82   56.07        0.0001059
  -69.06   69.47   39.37        0.0000116
   69.93   80.19   76.15        0.0000406
  142.00   33.91   35.49        0.0000267
   66.12   73.05   57.83        0.0000590
   -7.73   13.91  -16.37        0.0000301
   29.26   23.16   86.96        0.0004339
  -24.40   73.51   15.80        0.0000151
 -144.19   14.98   78.31        0.0001114
 -112.51   79.97   54.44        0.0000589
  -75.70   19.28   65.08        0.0000467
  139.85   51.90   34.14        0.0000601
   44.59   96.60    9.55        0.0000808
   94.26   36.61   -2.77        0.0000401
  -97.36   35.79   11.14        0.0000530
  -64.64   62.81   38.02        0.0000927
  179.33   71.97   40.10        0.0000179
   60.24   83.33   -0.71        0.0000447
   71.44   72.73   81.54        0.0000393
   76.29   69.60   61.46        0.0000074
   98.96   40.86   75.81        0.0000428
   49.11   24.32   30.24        0.0000475
  -66.37   17.87   74.17        0.0000390
 -100.97   33.00   77.71        0.0003460
  137.33   56.72   27.18        0.0000098
  -86.93   44.73    0.29        0.0001137
   38.82    9.69   90.76        0.0006784
  143.80   84.74    5.41        0.0000654
 -156.86   71.54   68.42        0.0000161
  -28.31   54.60   34.41        0.0000730
  -89.92   61.13   92.84        0.0000183
 -152.76   78.12   -2.31        0.0001036
   52.47   76.53   77.60        0.0000190
 -139.05   56.04   67.83        0.0001921
  171.01   19.92  -25.06        0.0003545
   -0.95   66.84   59.75        0.0000311
   24.14   65.02   74.29        0.0000182
  -30.92   25.01   44.95        0.0000249
  -83.43   33.68   70.86        0.0003843
 -109.99   79.16   41.17        0.0000681
    0.37   48.34   47.92        0.0000099
 -145.81   71.82   75.13        0.0000291
  164.47   59.94   35.16        0.0004570
  -30.87   49.71   28.59        0.0000258
 -171.34   61.13   51.56        0.0000757
   56.35   53.33   45.41        0.0001261
   61.55   88.92    1.94        0.0000331
  159.05   49.71   34.38        0.0002329
  -89.64   54.55   78.00        0.0001830
   -1.52   43.34   68.35        0.0000239
   13.15   84.76   19.90        0.0001708
 -121.70   50.20   46.14        0.0002156
 -175.30   52.91   29.43        0.0001139
 -134.70   71.46   70.28        0.0000074
  179.16   76.91   28.00        0.0000208
  177.18   47.77   49.75        0.0002986
 -102.04   67.70   79.20        0.0001958
   91.31   58.95   70.41        0.0000639
  -61.98   78.81    5.58        0.0002446
  -29.84   82.83   37.79        0.0002373
   49.93   73.79   69.39        0.0001923
  142.96   83.33    9.08        0.0002556
 -125.07   47.17   37.79        0.0000945
   50.92   72.07   66.56        0.0002124
  137.90   39.33   33.31        0.0000347
   37.28   74.31   77.85        0.0000140
   21.75   43.83   54.17        0.0000982
  -33.62   91.99   82.14        0.0004712
  113.85   70.33   13.18        0.0001171
    3.62   45.61   46.63        0.0001508
   20.45   13.31   91.34        0.0000637
   49.25   41.63   92.82        0.0003065
  121.95   88.72    0.67        0.0000261
  -15.87   22.02   47.68        0.0000235
  116.04   64.20   44.50        0.0001615
  120.49   72.29   33.81        0.0002476
    5.25    6.34   60.51        0.0000315
 -179.20   85.93   36.49        0.0000220
   -2.27   77.25   21.70        0.0000387
  -95.16   41.82    8.40        0.0000399
 -140.30   85.07   85.07        0.0000316
   -9.67   35.48   39.20        0.0000065
   60.23   54.18   45.87        0.0000146
  143.74   59.90   21.98        0.0000097
 -178.45   17.82  109.77        0.0000324
  177.96   83.59   40.57        0.0000442
   63.41   87.93   88.28        0.0000363
 -103.69   33.33   15.53        0.0000218
  174.60   43.30   32.64        0.0000065
   23.49   96.42   21.10        0.0002030
 -137.53   45.66   64.01        0.0002042
 -173.55   79.01   36.88        0.0002139
 -175.52   26.88   11.25        0.0000321
  159.54   12.52  -17.68        0.0005971
  120.29   94.60   78.85        0.0000335
    7.30   70.32   62.30        0.0000232
   49.24   31.43  101.73        0.0003576
  148.83   76.78    8.80        0.0000219
